,date,# of trips
278,2013-09-05,1940
279,2013-09-06,2187
280,2013-09-07,1900
281,2013-09-08,1658
282,2013-09-09,2077
283,2013-09-10,1965
284,2013-09-11,2076
285,2013-09-12,2129
286,2013-09-13,1760
287,2013-09-14,1892
288,2013-09-15,2054
289,2013-09-16,2023
290,2013-09-17,2302
291,2013-09-18,2217
292,2013-09-19,2347
293,2013-09-20,2397
294,2013-09-21,1924
295,2013-09-22,1623
296,2013-09-23,2026
297,2013-09-24,2092
298,2013-09-25,2128
299,2013-09-26,2312
300,2013-09-27,2245
301,2013-09-28,2016
302,2013-09-29,1658
303,2013-09-30,1998
304,2013-10-01,2352
305,2013-10-02,2403
306,2013-10-03,2394
307,2013-10-04,2148
308,2013-10-05,1912
309,2013-10-06,780
310,2013-10-07,1940
311,2013-10-08,2213
312,2013-10-09,2137
313,2013-10-10,2203
314,2013-10-11,2139
315,2013-10-12,1325
316,2013-10-13,1731
317,2013-10-14,1729
318,2013-10-15,2123
319,2013-10-16,2077
320,2013-10-17,2212
321,2013-10-18,2442
322,2013-10-19,2441
323,2013-10-20,2016
324,2013-10-21,2122
325,2013-10-22,2192
326,2013-10-23,2099
327,2013-10-24,2023
328,2013-10-25,1826
329,2013-10-26,1444
330,2013-10-27,1336
331,2013-10-28,1751
332,2013-10-29,1769
333,2013-10-30,1628
334,2013-10-31,1769
335,2013-11-01,1787
336,2013-11-02,1946
337,2013-11-03,968
338,2013-11-04,1539
339,2013-11-05,1618
340,2013-11-06,1818
341,2013-11-07,1219
342,2013-11-08,1613
343,2013-11-09,1017
344,2013-11-10,1103
345,2013-11-11,1313
346,2013-11-12,1121
347,2013-11-13,1226
348,2013-11-14,1447
349,2013-11-15,1655
350,2013-11-16,1402
351,2013-11-17,1044
352,2013-11-18,1455
353,2013-11-19,1261
354,2013-11-20,1190
355,2013-11-21,1350
356,2013-11-22,868
357,2013-11-23,825
358,2013-11-24,440
359,2013-11-25,792
360,2013-11-26,782
361,2013-11-27,211
362,2013-11-28,161
363,2013-11-29,237
364,2013-11-30,252
365,2013-12-01,165
366,2013-12-02,550
367,2013-12-03,678
368,2013-12-04,655
369,2013-12-05,656
370,2013-12-06,550
371,2013-12-07,381
372,2013-12-08,332
373,2013-12-09,232
374,2013-12-10,385
375,2013-12-11,457
376,2013-12-12,444
377,2013-12-13,388
378,2013-12-14,96
379,2013-12-16,95
380,2013-12-17,110
381,2013-12-18,188
382,2013-12-19,252
383,2013-12-20,265
384,2013-12-21,223
385,2013-12-22,114
386,2013-12-23,82
387,2013-12-24,104
388,2013-12-25,39
389,2013-12-26,61
390,2013-12-27,100
391,2013-12-28,154
392,2013-12-29,91
393,2013-12-30,170
394,2013-12-31,134
395,2014-01-01,38
396,2014-01-04,48
397,2014-01-05,87
398,2014-01-06,161
399,2014-01-07,147
400,2014-01-08,179
401,2014-01-09,272
402,2014-01-10,220
403,2014-01-11,135
404,2014-01-12,196
405,2014-01-13,408
406,2014-01-14,209
407,2014-01-15,409
408,2014-01-16,411
409,2014-01-17,458
410,2014-01-18,99
411,2014-01-19,142
412,2014-01-20,291
413,2014-01-21,124
414,2014-01-22,79
415,2014-01-23,220
416,2014-01-24,219
417,2014-01-25,160
418,2014-01-26,158
419,2014-01-27,316
420,2014-01-28,270
421,2014-01-29,352
422,2014-01-30,353
423,2014-01-31,416
424,2014-02-01,267
425,2014-02-02,314
426,2014-02-03,264
427,2014-02-04,288
428,2014-02-06,147
429,2014-02-07,270
430,2014-02-08,178
431,2014-02-09,202
432,2014-02-10,315
433,2014-02-11,337
434,2014-02-12,328
435,2014-02-13,117
436,2014-02-14,237
437,2014-02-15,76
438,2014-02-16,88
439,2014-02-17,179
440,2014-02-18,194
441,2014-02-19,250
442,2014-02-20,356
443,2014-02-21,233
444,2014-02-22,317
445,2014-02-23,288
446,2014-02-24,322
447,2014-02-25,344
448,2014-02-26,364
449,2014-02-27,352
450,2014-02-28,340
451,2014-03-01,267
452,2014-03-02,277
453,2014-03-03,339
454,2014-03-04,382
455,2014-03-05,367
456,2014-03-06,358
457,2014-03-07,413
458,2014-03-08,388
459,2014-03-09,295
460,2014-03-10,435
461,2014-03-11,618
462,2014-03-12,414
463,2014-03-13,285
464,2014-03-14,421
465,2014-03-15,420
466,2014-03-16,236
467,2014-03-17,327
468,2014-03-18,401
469,2014-03-19,421
470,2014-03-20,468
471,2014-03-21,384
472,2014-03-22,363
473,2014-03-23,307
474,2014-03-24,343
475,2014-03-25,416
476,2014-03-26,357
477,2014-03-27,446
478,2014-03-28,436
479,2014-03-29,217
480,2014-03-30,120
481,2014-03-31,340
482,2014-04-01,656
483,2014-04-02,1198
484,2014-04-03,1233
485,2014-04-04,1069
486,2014-04-05,943
487,2014-04-06,1160
488,2014-04-07,1391
489,2014-04-08,1194
490,2014-04-09,1507
491,2014-04-10,1619
492,2014-04-11,1498
493,2014-04-12,1835
494,2014-04-13,1277
495,2014-04-14,1707
496,2014-04-15,895
497,2014-04-16,1241
498,2014-04-17,1252
499,2014-04-18,1250
500,2014-04-19,1646
501,2014-04-20,1281
502,2014-04-21,1864
503,2014-04-22,1821
504,2014-04-23,1181
505,2014-04-24,1546
506,2014-04-25,1889
507,2014-04-26,695
508,2014-04-27,1035
509,2014-04-28,1652
510,2014-04-29,1384
511,2014-04-30,915
512,2014-05-01,1343
513,2014-05-02,2103
514,2014-05-03,1871
515,2014-05-04,1431
516,2014-05-05,1798
517,2014-05-06,1839
518,2014-05-07,1985
519,2014-05-08,2153
520,2014-05-09,1712
521,2014-05-10,1324
522,2014-05-11,1833
523,2014-05-12,2060
524,2014-05-13,1891
525,2014-05-14,2129
526,2014-05-15,2172
527,2014-05-16,1804
528,2014-05-17,2027
529,2014-05-18,1672
530,2014-05-19,1735
531,2014-05-20,2187
532,2014-05-21,2298
533,2014-05-22,1805
534,2014-05-23,1729
535,2014-05-24,1442
536,2014-05-25,1862
537,2014-05-26,1726
538,2014-05-27,1695
539,2014-05-28,1244
540,2014-05-29,2025
541,2014-05-30,1854
542,2014-05-31,1829
543,2014-06-01,1863
544,2014-06-02,2131
545,2014-06-03,2323
546,2014-06-04,1804
547,2014-06-05,1011
548,2014-06-06,2224
549,2014-06-07,2087
550,2014-06-08,1837
551,2014-06-09,2025
552,2014-06-10,1929
553,2014-06-11,2367
554,2014-06-12,2003
555,2014-06-13,1024
556,2014-06-14,1647
557,2014-06-15,1903
558,2014-06-16,2279
559,2014-06-17,2178
560,2014-06-18,2203
561,2014-06-19,2293
562,2014-06-20,2400
563,2014-06-21,1974
564,2014-06-22,2026
565,2014-06-23,2419
566,2014-06-24,2386
567,2014-06-25,2243
568,2014-06-26,2109
569,2014-06-27,2410
570,2014-06-28,1942
571,2014-06-29,1948
572,2014-06-30,2310
573,2014-07-01,2283
574,2014-07-02,2108
575,2014-07-03,2246
576,2014-07-04,445
577,2014-07-05,1894
578,2014-07-06,1900
579,2014-07-07,2139
580,2014-07-08,2379
581,2014-07-09,2518
582,2014-07-10,2601
583,2014-07-11,2656
584,2014-07-12,2228
585,2014-07-13,1979
586,2014-07-14,1798
587,2014-07-15,2314
588,2014-07-16,1721
589,2014-07-17,2745
