,date,# of trips
1191,2016-03-13,970
1192,2016-03-14,681
1193,2016-03-15,371
1194,2016-03-16,1017
1195,2016-03-17,990
1196,2016-03-18,954
1197,2016-03-19,722
1198,2016-03-20,454
1199,2016-03-21,542
1200,2016-03-22,939
1201,2016-03-23,1170
1202,2016-03-24,971
1203,2016-03-25,694
1204,2016-03-26,819
1205,2016-03-27,652
1206,2016-03-28,566
1207,2016-03-29,1147
1208,2016-03-30,1392
1209,2016-03-31,1576
1210,2016-04-01,1619
1211,2016-04-02,584
1212,2016-04-03,516
1213,2016-04-04,278
1214,2016-04-05,789
1215,2016-04-06,1160
1216,2016-04-07,789
1217,2016-04-08,1314
1218,2016-04-09,1037
1219,2016-04-10,1088
1220,2016-04-11,1250
1221,2016-04-12,1305
1222,2016-04-13,1694
1223,2016-04-14,1700
1224,2016-04-15,1798
1225,2016-04-16,1456
1226,2016-04-17,1832
1227,2016-04-18,1797
1228,2016-04-19,1649
1229,2016-04-20,1895
1230,2016-04-21,2304
1231,2016-04-22,1995
1232,2016-04-23,1536
1233,2016-04-24,1597
1234,2016-04-25,1894
1235,2016-04-26,1282
1236,2016-04-27,2058
1237,2016-04-28,1992
1238,2016-04-29,2050
1239,2016-04-30,1747
1240,2016-05-01,991
1241,2016-05-02,1062
1242,2016-05-03,1211
1243,2016-05-04,1373
1244,2016-05-05,1203
1245,2016-05-06,1745
1246,2016-05-07,1126
1247,2016-05-08,1058
1248,2016-05-09,1680
1249,2016-05-10,2148
1250,2016-05-11,2279
1251,2016-05-12,2469
1252,2016-05-13,2047
1253,2016-05-14,2094
1254,2016-05-15,1448
1255,2016-05-16,1820
1256,2016-05-17,2342
1257,2016-05-18,2382
1258,2016-05-19,2284
1259,2016-05-20,2306
1260,2016-05-21,2051
1261,2016-05-22,1542
1262,2016-05-23,2239
1263,2016-05-24,1759
1264,2016-05-25,2487
1265,2016-05-26,2456
1266,2016-05-27,2311
1267,2016-05-28,1846
1268,2016-05-29,1600
1269,2016-05-30,1221
1270,2016-05-31,2511
1271,2016-06-01,2413
1272,2016-06-02,2204
1273,2016-06-03,2137
1274,2016-06-04,2182
1275,2016-06-05,767
1276,2016-06-06,2480
1277,2016-06-07,2327
1278,2016-06-08,2333
1279,2016-06-09,2394
1280,2016-06-10,2473
1281,2016-06-11,1513
1282,2016-06-12,1870
1283,2016-06-13,2329
1284,2016-06-14,2445
1285,2016-06-15,2559
1286,2016-06-16,2750
1287,2016-06-17,2758
1288,2016-06-18,2155
1289,2016-06-19,2196
1290,2016-06-20,2707
1291,2016-06-21,2787
1292,2016-06-22,2745
1293,2016-06-23,2842
1294,2016-06-24,2851
1295,2016-06-25,2285
1296,2016-06-26,2016
1297,2016-06-27,2577
1298,2016-06-28,2156
1299,2016-06-29,2415
1300,2016-06-30,2710
1301,2016-07-01,2399
1302,2016-07-02,2105
1303,2016-07-03,2100
1304,2016-07-04,2422
1305,2016-07-05,2058
1306,2016-07-06,2616
1307,2016-07-07,2607
1308,2016-07-08,2438
1309,2016-07-09,1797
1310,2016-07-10,1548
1311,2016-07-11,2765
1312,2016-07-12,2835
1313,2016-07-13,2506
1314,2016-07-14,2534
1315,2016-07-15,2432
1316,2016-07-16,2050
1317,2016-07-17,2170
1318,2016-07-18,2330
1319,2016-07-19,2839
1320,2016-07-20,2905
1321,2016-07-21,2771
1322,2016-07-22,2425
1323,2016-07-23,1836
1324,2016-07-24,2072
1325,2016-07-25,2604
1326,2016-07-26,2709
1327,2016-07-27,2747
1328,2016-07-28,2674
1329,2016-07-29,2260
1330,2016-07-30,2079
1331,2016-07-31,1345
1332,2016-08-01,2595
1333,2016-08-02,2243
1334,2016-08-03,2828
1335,2016-08-04,2836
1336,2016-08-05,2955
1337,2016-08-06,1805
1338,2016-08-07,2100
1339,2016-08-08,2739
1340,2016-08-09,2802
1341,2016-08-10,2034
1342,2016-08-11,2414
1343,2016-08-12,2208
1344,2016-08-13,2148
1345,2016-08-14,1710
1346,2016-08-15,2418
1347,2016-08-16,2381
1348,2016-08-17,2519
1349,2016-08-18,2457
1350,2016-08-19,2551
1351,2016-08-20,1880
1352,2016-08-21,1886
1353,2016-08-22,2409
1354,2016-08-23,2525
1355,2016-08-24,2480
1356,2016-08-25,2515
1357,2016-08-26,2410
1358,2016-08-27,1906
1359,2016-08-28,2035
1360,2016-08-29,2585
1361,2016-08-30,2847
1362,2016-08-31,2748
1363,2016-09-01,2419
1364,2016-09-02,2723
1365,2016-09-03,2278
1366,2016-09-04,2370
1367,2016-09-05,1710
1368,2016-09-06,2083
1369,2016-09-07,2480
1370,2016-09-08,2798
1371,2016-09-09,2730
1372,2016-09-10,2683
1373,2016-09-11,2165
1374,2016-09-12,2917
1375,2016-09-13,3034
1376,2016-09-14,2859
1377,2016-09-15,3026
1378,2016-09-16,2925
1379,2016-09-17,2473
1380,2016-09-18,1945
1381,2016-09-19,1792
1382,2016-09-20,2863
1383,2016-09-21,2933
1384,2016-09-22,2944
1385,2016-09-23,2846
1386,2016-09-24,2242
1387,2016-09-25,2065
1388,2016-09-26,2777
1389,2016-09-27,2442
1390,2016-09-28,2454
1391,2016-09-29,2575
1392,2016-09-30,2199
1393,2016-10-01,817
1394,2016-10-02,1422
1395,2016-10-03,2678
1396,2016-10-04,2694
1397,2016-10-05,2728
1398,2016-10-06,2759
1399,2016-10-07,2781
1400,2016-10-08,1988
1401,2016-10-09,307
1402,2016-10-10,1867
1403,2016-10-11,2539
1404,2016-10-12,2415
1405,2016-10-13,2492
1406,2016-10-14,2492
1407,2016-10-15,2018
1408,2016-10-16,1907
1409,2016-10-17,2742
1410,2016-10-18,2601
1411,2016-10-19,2838
1412,2016-10-20,2712
1413,2016-10-21,2156
1414,2016-10-22,1279
1415,2016-10-23,1832
1416,2016-10-24,2403
1417,2016-10-25,2096
1418,2016-10-26,2125
1419,2016-10-27,1461
1420,2016-10-28,1537
1421,2016-10-29,1506
1422,2016-10-30,1398
1423,2016-10-31,2115
1424,2016-11-01,2242
1425,2016-11-02,2488
1426,2016-11-03,1985
1427,2016-11-04,2193
1428,2016-11-05,1689
1429,2016-11-06,1358
1430,2016-11-07,1970
1431,2016-11-08,2218
1432,2016-11-09,2125
1433,2016-11-10,2063
1434,2016-11-11,1748
1435,2016-11-12,1410
1436,2016-11-13,1590
1437,2016-11-14,2225
1438,2016-11-15,1208
1439,2016-11-16,2113
1440,2016-11-17,2160
1441,2016-11-18,2249
1442,2016-11-19,1642
1443,2016-11-20,1033
1444,2016-11-21,1452
1445,2016-11-22,1533
1446,2016-11-23,1294
1447,2016-11-24,462
1448,2016-11-25,570
1449,2016-11-26,834
1450,2016-11-27,892
1451,2016-11-28,1614
1452,2016-11-29,1100
1453,2016-11-30,1146
1454,2017-01-01,251
1455,2017-01-02,465
1456,2017-01-03,360
1457,2017-01-04,872
1458,2017-01-05,807
1459,2017-01-06,578
1460,2017-01-07,70
1461,2017-01-08,111
1462,2017-01-09,392
1463,2017-01-10,469
1464,2017-01-11,773
1465,2017-01-12,763
1466,2017-01-13,686
1467,2017-01-14,336
1468,2017-01-15,395
1469,2017-01-16,486
1470,2017-01-17,665
1471,2017-01-18,379
1472,2017-01-19,798
1473,2017-01-20,717
1474,2017-01-21,726
1475,2017-01-22,401
1476,2017-01-23,532
1477,2017-01-24,363
1478,2017-01-25,773
1479,2017-01-26,820
1480,2017-01-27,837
1481,2017-01-28,478
1482,2017-01-29,518
1483,2017-01-30,763
1484,2017-01-31,597
1485,2017-02-01,690
1486,2017-02-02,775
1487,2017-02-03,723
1488,2017-02-04,427
1489,2017-02-05,416
1490,2017-02-06,771
1491,2017-02-07,409
1492,2017-02-08,807
1493,2017-02-09,84
1494,2017-02-10,142
1495,2017-02-11,188
1496,2017-02-12,63
1497,2017-02-13,38
1498,2017-02-14,530
1499,2017-02-15,591
1500,2017-02-16,607
1501,2017-02-17,673
1502,2017-02-18,497
1503,2017-02-19,613
1504,2017-02-20,635
1505,2017-02-21,784
1506,2017-02-22,983
1507,2017-02-23,1094
1508,2017-02-24,1143
1509,2017-02-25,909
1510,2017-02-26,596
1511,2017-02-27,947
1512,2017-02-28,1086
1513,2017-03-01,1097
1514,2017-03-02,974
1515,2017-03-03,810
1516,2017-03-04,324
1517,2017-03-05,368
1518,2017-03-06,918
1519,2017-03-07,841
1520,2017-03-08,1149
1521,2017-03-09,1130
1522,2017-03-10,518
1523,2017-03-11,273
1524,2017-03-12,297
1525,2017-03-13,784
1526,2017-03-14,50
1527,2017-03-15,139
1528,2017-03-16,687
1529,2017-03-17,793
1530,2017-03-18,527
1531,2017-03-19,419
1532,2017-03-20,1125
1533,2017-03-21,1297
1534,2017-03-22,959
1535,2017-03-23,926
1536,2017-03-24,941
1537,2017-03-25,497
1538,2017-03-26,605
1539,2017-03-27,636
1540,2017-03-28,794
1541,2017-03-29,1002
1542,2017-03-30,1213
1543,2017-03-31,543
1544,2017-04-01,165
1545,2017-04-02,870
1546,2017-04-03,1689
1547,2017-04-04,410
1548,2017-04-05,1360
1549,2017-04-06,659
1550,2017-04-07,1488
1551,2017-04-08,986
1552,2017-04-09,1883
1553,2017-04-10,2265
1554,2017-04-11,2521
1555,2017-04-12,2139
1556,2017-04-13,2200
1557,2017-04-14,2359
1558,2017-04-15,2091
1559,2017-04-16,2179
1560,2017-04-17,2146
1561,2017-04-18,2081
1562,2017-04-19,1814
1563,2017-04-20,1973
1564,2017-04-21,653
1565,2017-04-22,1048
1566,2017-04-23,1936
1567,2017-04-24,2354
1568,2017-04-25,1079
1569,2017-04-26,1176
1570,2017-04-27,2335
1571,2017-04-28,2611
1572,2017-04-29,2479
1573,2017-04-30,1278
1574,2017-05-01,1958
1575,2017-05-02,2118
1576,2017-05-03,2373
1577,2017-05-04,2491
1578,2017-05-05,1116
1579,2017-05-06,1229
1580,2017-05-07,1803
1581,2017-05-08,2030
1582,2017-05-09,2193
1583,2017-05-10,2351
1584,2017-05-11,2348
1585,2017-05-12,1976
1586,2017-05-13,1410
1587,2017-05-14,487
1588,2017-05-15,1724
1589,2017-05-16,2694
1590,2017-05-17,2676
1591,2017-05-18,2531
1592,2017-05-19,2466
1593,2017-05-20,2134
1594,2017-05-21,1976
1595,2017-05-22,1457
1596,2017-05-23,2411
1597,2017-05-24,2610
1598,2017-05-25,996
1599,2017-05-26,1508
1600,2017-05-27,1830
1601,2017-05-28,2072
1602,2017-05-29,751
1603,2017-05-30,2210
1604,2017-05-31,2360
1605,2017-06-01,2459
1606,2017-06-02,2492
1607,2017-06-03,1738
1608,2017-06-04,1707
1609,2017-06-05,1271
1610,2017-06-06,841
1611,2017-06-07,2560
1612,2017-06-08,2818
1613,2017-06-09,2841
1614,2017-06-10,2398
1615,2017-06-11,2205
1616,2017-06-12,2638
1617,2017-06-13,2586
1618,2017-06-14,2844
1619,2017-06-15,2961
1620,2017-06-16,1740
1621,2017-06-17,1855
1622,2017-06-18,2068
1623,2017-06-19,2647
1624,2017-06-20,2698
1625,2017-06-21,2897
1626,2017-06-22,2997
1627,2017-06-23,2857
1628,2017-06-24,2187
1629,2017-06-25,2291
1630,2017-06-26,2922
1631,2017-06-27,2537
1632,2017-06-28,3144
1633,2017-06-29,3152
1634,2017-06-30,2622
1635,2017-07-01,2100
1636,2017-07-02,2192
1637,2017-07-03,2568
1638,2017-07-04,2646
1639,2017-07-05,2903
1640,2017-07-06,2987
1641,2017-07-07,1933
1642,2017-07-08,1847
1643,2017-07-09,2441
1644,2017-07-10,2928
1645,2017-07-11,2412
1646,2017-07-12,2451
1647,2017-07-13,2354
1648,2017-07-14,2773
1649,2017-07-15,2469
1650,2017-07-16,2349
1651,2017-07-17,2964
1652,2017-07-18,2818
1653,2017-07-19,2902
1654,2017-07-20,2953
1655,2017-07-21,2994
1656,2017-07-22,2495
1657,2017-07-23,2537
1658,2017-07-24,969
1659,2017-07-25,2715
1660,2017-07-26,3254
1661,2017-07-27,2427
1662,2017-07-28,3184
1663,2017-07-29,2474
1664,2017-07-30,2524
1665,2017-07-31,3043
1666,2017-08-01,3207
1667,2017-08-02,2361
1668,2017-08-03,3134
1669,2017-08-04,3016
1670,2017-08-05,1816
1671,2017-08-06,2344
1672,2017-08-07,2831
1673,2017-08-08,3004
1674,2017-08-09,3163
1675,2017-08-10,3147
1676,2017-08-11,3026
1677,2017-08-12,2172
1678,2017-08-13,2445
1679,2017-08-14,3077
1680,2017-08-15,3029
1681,2017-08-16,2943
1682,2017-08-17,3013
1683,2017-08-18,2444
1684,2017-08-19,2455
1685,2017-08-20,2172
1686,2017-08-21,2770
1687,2017-08-22,2593
1688,2017-08-23,2737
1689,2017-08-24,2876
1690,2017-08-25,2837
1691,2017-08-26,2424
1692,2017-08-27,2306
1693,2017-08-28,2863
1694,2017-08-29,2898
1695,2017-08-30,2785
1696,2017-08-31,2995
1697,2017-09-01,2795
1698,2017-09-02,2011
1699,2017-09-03,687
1700,2017-09-04,2324
1701,2017-09-05,2988
1702,2017-09-06,2519
1703,2017-09-07,3183
1704,2017-09-08,3145
1705,2017-09-09,2400
1706,2017-09-10,2291
1707,2017-09-11,3158
1708,2017-09-12,3274
1709,2017-09-13,3401
1710,2017-09-14,3057
1711,2017-09-15,2803
1712,2017-09-16,2432
1713,2017-09-17,2349
1714,2017-09-18,2878
1715,2017-09-19,2562
1716,2017-09-20,1826
1717,2017-09-21,2911
1718,2017-09-22,2063
1719,2017-09-23,2417
1720,2017-09-24,2559
1721,2017-09-25,3046
1722,2017-09-26,3058
1723,2017-09-27,3139
1724,2017-09-28,3230
1725,2017-09-29,3209
1726,2017-09-30,1145
1727,2017-10-01,2312
1728,2017-10-02,2914
1729,2017-10-03,3114
1730,2017-10-04,3165
1731,2017-10-05,3119
1732,2017-10-06,2973
1733,2017-10-07,2306
1734,2017-10-08,1751
1735,2017-10-09,1446
1736,2017-10-10,3143
1737,2017-10-11,3189
1738,2017-10-12,3083
1739,2017-10-13,2920
1740,2017-10-14,1840
1741,2017-10-15,2216
1742,2017-10-16,2711
1743,2017-10-17,2746
1744,2017-10-18,3201
1745,2017-10-19,3267
1746,2017-10-20,3261
1747,2017-10-21,3120
1748,2017-10-22,2946
1749,2017-10-23,3012
1750,2017-10-24,2776
1751,2017-10-25,1719
1752,2017-10-26,1900
1753,2017-10-27,2642
1754,2017-10-28,2257
1755,2017-10-29,1216
1756,2017-10-30,2328
1757,2017-10-31,2701
1758,2017-11-01,2719
1759,2017-11-02,2962
1760,2017-11-03,2825
1761,2017-11-04,2257
1762,2017-11-05,1999
1763,2017-11-06,2271
1764,2017-11-07,2270
1765,2017-11-08,2305
1766,2017-11-09,2413
1767,2017-11-10,1456
1768,2017-11-11,1046
1769,2017-11-12,1243
1770,2017-11-13,1501
1771,2017-11-14,2094
1772,2017-11-15,2259
1773,2017-11-16,1701
1774,2017-11-17,2074
1775,2017-11-18,1210
1776,2017-11-19,1015
1777,2017-11-20,1877
1778,2017-11-21,2277
1779,2017-11-22,690
1780,2017-11-23,611
1781,2017-11-24,961
1782,2017-11-25,1258
1783,2017-11-26,862
1784,2017-11-27,1808
1785,2017-11-28,1823
1786,2017-11-29,2193
1787,2017-11-30,1920
1788,2017-12-01,1965
1789,2017-12-02,1203
1790,2017-12-03,1092
1791,2017-12-04,1888
1792,2017-12-05,1692
1793,2017-12-06,1963
1794,2017-12-07,1886
1795,2017-12-08,1805
1796,2017-12-09,393
1797,2017-12-10,515
1798,2017-12-11,1462
1799,2017-12-12,1480
1800,2017-12-13,1223
1801,2017-12-14,1202
1802,2017-12-15,1236
1803,2017-12-16,671
1804,2017-12-17,542
1805,2017-12-18,1198
1806,2017-12-19,1459
1807,2017-12-20,1375
1808,2017-12-21,1126
1809,2017-12-22,652
1810,2017-12-23,115
1811,2017-12-24,244
1812,2017-12-25,63
1813,2017-12-26,173
1814,2017-12-27,230
1815,2017-12-28,210
1816,2017-12-29,206
1817,2017-12-30,152
1818,2017-12-31,100
