city,name,lat,long,coordinates
Boston,Harvard Real Estate - North Harvard St at Western Ave,,,
Boston,Longwood Ave/Riverway,,,
Boston,Overland St at Brookline Ave,,,
Brookline,Brookline Village - Station Street @ MBTA,,,
Somerville,Ball Sq,,,
Boston,South Bay Plaza,,,
Somerville,Summer St at Cutter St,,,
Boston,Milk St at India St,,,
Boston,18 Dorrance Warehouse,42.387151,-71.075978,"42.387151, -71.075978"
Boston,TD Garden - Causeway at Portal Park #1,42.365942,-71.060515,"42.365942, -71.060515"
Brookline,Brookline Village - Pearl Street @ MBTA,42.332799,-71.116205,"42.332799, -71.116205"
Boston,Upham's Corner - Ramsey St at Dudley St,42.317225,-71.065421,"42.317225, -71.065421"
Somerville,Summer St at Cutter St,42.394002,-71.120406,"42.394002, -71.120406"
Montr̩al,8D OPS 03,45.505086,-73.566921,"45.505086, -73.566921"
Cambridge,One Memorial Drive,42.36161932,-71.08043551,"42.361619320766856, -71.0804355052096"
Boston,Charles St and Beacon St,42.356052,-71.069849,"42.356052, -71.069849"
Cambridge,Lower Cambridgeport at Magazine St / Riverside Rd,42.3572185,-71.11387163,"42.357218503176526, -71.1138716340065"
Boston,Seaport Blvd at Sleeper St,42.35317809,-71.04817357,"42.35317809186252, -71.04817356923377"
Cambridge,Huron Ave. At Vassal Lane,42.38165061,-71.13426981,"42.381650612901176, -71.13426981498378"
Boston,Troy Boston,42.343749,-71.062256,"42.343749, -71.062256"
Brookline,Brookline Village - Station Street @ MBTA TEMPORARY WINTER LOCATION,42.33376473,-71.12046447,"42.33376472623494, -71.12046446660315"
Boston,Boylston St at Arlington St TEMPORARY WINTER LOCATION,42.35258344,-71.0676625,"42.352583438376996, -71.06766249993596"
Boston,Allston Green District - Griggs St at Commonwealth Ave TEMPORARY WINTER LOCATION,42.34922469,-71.13275303,"42.34922469338298, -71.13275302578586"
Brookline,Washington Square at Washington St. / Beacon St. TEMPORARY WINTER LOCATION,42.33825427,-71.13905482,"42.338254270769454, -71.13905482012342"
Boston,Charles Circle - Charles St at Cambridge St TEMPORARY WINTER LOCATION,42.36075761,-71.0713291,"42.36075761041193, -71.07132909824031"
Boston,Upham's Corner TEMPORARY WINTER LOCATION,42.31750892,-71.06416626,"42.31750891943043, -71.06416625906604"
Boston,Four Corners - 157 Washington St,42.30412793,-71.07929528,"42.304127927390155, -71.07929527759552"
Unknown,Warehouse - Back Door,,,
